ID,Title,Tags,Difficulty,Solved,Accepted
1866M,Mighty Rock Tower,"combinatorics, dp, math, probabilities",0,256,0
1866L,Lihmuf Balling,"brute force, math",0,254,0
1866K,Keen Tree Calculation,"binary search, data structures, dp, geometry, trees",0,148,0
1866J,Jackets and Packets,dp,0,80,0
1866I,Imagination Castle,"dp, games, two pointers",0,247,0
1866H,Happy Sets,combinatorics,0,755,0
1866G,Grouped Carriages,"binary search, data structures, dp, flows, greedy",0,648,0
1866F,Freak Joker Process,"binary search, data structures, sortings",0,27,0
1866E,Elevators of Tamem,dp,0,67,0
1866D,Digital Wallet,"dp, greedy",0,464,0
1866C,Completely Searching for Inversions,"dfs and similar, dp, graphs",0,1467,0
1866B,Battling with Numbers,"combinatorics, math, number theory",0,3819,0
1866A,Ambitious Kid,math,0,7752,0
1864I,Future Dominators,"graphs, greedy",0,34,0
1864H,Asterism Stream,"dp, math, matrices",0,122,0
1864G,Magic Square,"combinatorics, constructive algorithms, implementation",0,167,0
1864F,Exotic Queries,"data structures, implementation, sortings",0,943,0
1864E,Guess Game,"bitmasks, data structures, games, math, probabilities, sortings, strings, trees",0,1955,0
1864D,Matrix Cascade,"brute force, constructive algorithms, data structures, dp, greedy, math",0,5335,0
1864C,Divisor Chain,"bitmasks, constructive algorithms, math, number theory",0,10172,0
1864B,Swap and Reverse,"constructive algorithms, greedy, sortings, strings",0,12695,0
1864A,Increasing and Decreasing,"constructive algorithms, greedy, implementation, math",0,17578,0
1863I,Redundant Routes,"constructive algorithms, dp, trees",0,15,0
1863H,Goldberg Machine 3,"dp, trees",0,19,0
1863G,Swaps,"combinatorics, dp, graphs, math",0,270,0
1863F,"Divide, XOR, and Conquer","bitmasks, dp, math",0,585,0
1863E,Speedrun,"brute force, dfs and similar, dp, graphs, greedy, math, sortings, two pointers",0,1879,0
1863D,Two-Colored Dominoes,"constructive algorithms, greedy",0,6571,0
1863C,MEX Repetition,"implementation, math",0,10549,0
1863B,Split Sort,"greedy, math, sortings",0,11428,0
1863A,Channel,"greedy, implementation",0,14448,0
1862G,The Great Equalizer,"binary search, data structures, math, sortings",0,1771,0
1862F,Magic Will Save the World,"binary search, bitmasks, brute force, dp",0,3915,0
1862E,Kolya and Movie Theatre,"constructive algorithms, data structures, greedy",0,6914,0
1862D,Ice Cream Balls,"binary search, combinatorics, constructive algorithms, math",0,12749,0
1862C,Flower City Fence,"binary search, data structures, implementation, sortings",0,16022,0
1862B,Sequence Game,constructive algorithms,0,22820,0
1862A,Gift Carpet,"dp, greedy, implementation, strings",0,25070,0
1861F,Four Suits,"binary search, bitmasks, flows, greedy",0,37,0
1861E,Non-Intersecting Subpermutations,"combinatorics, dp, implementation, math",0,881,0
1861D,Sorting By Multiplication,"dp, greedy",0,3850,0
1861C,Queries for the Array,"data structures, dfs and similar, implementation, strings, trees",0,6346,0
1861B,Two Binary Strings,"constructive algorithms, dp, greedy",0,14212,0
1861A,Prime Deletion,"constructive algorithms, math",0,17992,0
1860F,Evaluate RBS,"data structures, geometry, implementation, math, sortings",0,157,0
1860E,Fast Travel Text Editor,"data structures, dfs and similar, graphs, shortest paths",0,923,0
1860D,Balanced String,dp,0,2043,0
1860C,Game on Permutation,"data structures, dp, games, greedy",0,9950,0
1860B,Fancy Coins,"binary search, brute force, greedy, math",0,12974,0
1860A,Not a Substring,"constructive algorithms, strings",0,17951,0
1859F,Teleportation in Byteland,"data structures, dfs and similar, divide and conquer, graphs, shortest paths, trees",3200,252,0
1859E,Maximum Monogonosity,"brute force, dp, math",2500,1298,0
1859D,Andrey and Escape from Capygrad,"binary search, data structures, dp, dsu, greedy, sortings",1800,5159,0
1859C,Another Permutation Problem,"brute force, dp, greedy, math",1200,13453,0
1859B,Olya and Game with Arrays,"constructive algorithms, greedy, math, sortings",1000,18783,0
1859A,United We Stand,"constructive algorithms, math, number theory",800,23718,0
1858E2,Rollbacks (Hard Version),"data structures, interactive, trees",2600,701,0
1858E1,Rollbacks (Easy Version),"brute force, data structures, dfs and similar, trees",2500,929,0
1858D,Trees and Segments,"brute force, data structures, dp, greedy, two pointers",2200,2059,0
1858C,Yet Another Permutation Problem,"constructive algorithms, greedy, math, number theory",1000,18393,0
1858B,The Walkway,"brute force, dp, greedy, math, number theory",1500,8637,0
1858A,Buttons,"games, greedy, math",800,26433,0
1857G,Counting Graphs,"combinatorics, divide and conquer, dsu, graphs, greedy, sortings, trees",2000,3085,0
1857F,Sum and Product,"binary search, data structures, math",1600,7681,0
1857E,Power of Points,"math, sortings",1500,9027,0
1857D,Strong Vertices,"math, sortings, trees",1300,14477,0
1857C,Assembly via Minimums,"greedy, sortings",1200,17852,0
1857B,Maximum Rounding,"greedy, implementation, math",1100,18995,0
1857A,Array Coloring,"greedy, math",800,34611,0
1856E2,PermuTree (hard version),"bitmasks, dfs and similar, dp, fft, greedy, implementation, math, trees",2700,1002,0
1856E1,PermuTree (easy version),"dfs and similar, dp, trees",1800,3762,0
1856D,More Wrong,"divide and conquer, interactive",2100,2507,0
1856C,To Become Max,"binary search, brute force, data structures, dp",1600,8550,0
1856B,Good Arrays,"implementation, math",900,18828,0
1856A,Tales of a Sort,implementation,800,22587,0
1855B,Longest Divisors Interval,"brute force, combinatorics, greedy, math, number theory",900,19032,0
1855A,Dalton the Teacher,"greedy, math",800,23808,0
1854F,Mark and Spaceship,"brute force, dp",3500,69,0
1854E,Game Bundles,"brute force, constructive algorithms, dp, greedy, math",3000,260,0
1854D,Michael and Hotel,"binary search, interactive, trees",3000,350,0
1854C,Expected Destruction,"combinatorics, dp, math, probabilities",2500,1010,0
1854B,Earn or Unlock,"bitmasks, brute force, dp",2200,2666,0
1854A2,Dual (Hard Version),"constructive algorithms, math",1900,5548,0
1854A1,Dual (Easy Version),"constructive algorithms, math",1400,11057,0
1853B,Fibonaccharsis,"binary search, brute force, math",1200,13796,0
1853A,Desorting,"brute force, greedy, math",800,22425,0
1852F,Panda Meetups,"data structures, dp, flows",3500,70,0
1852E,Rivalries,"constructive algorithms, data structures, greedy",3400,106,0
1852D,Miriany and Matchstick,"constructive algorithms, dp, greedy",2800,322,0
1852C,Ina of the Mountain,"data structures, dp, greedy, math",2400,1120,0
1852B,Imbalanced Arrays,"constructive algorithms, graphs, greedy, math, sortings, two pointers",1800,3143,0
1852A,Ntarsis' Set,"binary search, math, number theory",1800,6097,0
1851G,Vlad and the Mountains,"binary search, data structures, dsu, graphs, implementation, sortings, trees, two pointers",2000,2120,0
1851F,Lisa and the Martians,"bitmasks, greedy, math, strings, trees",1800,4032,0
1851E,Nastya and Potions,"dfs and similar, dp, graphs, sortings",1500,7170,0
1851D,Prefix Permutation Sums,"implementation, math",1300,11677,0
1851C,Tiles Comeback,greedy,1000,18402,0
1851B,Parity Sort,"greedy, sortings, two pointers",800,23591,0
1851A,Escalator Conversations,"brute force, constructive algorithms, math",800,25307,0
1850H,The Third Letter,"dfs and similar, dsu, graphs, greedy, implementation",1700,5593,0
1850G,The Morning Star,"combinatorics, data structures, geometry, implementation, math, sortings",1500,8444,0
1850F,We Were Both Children,"brute force, implementation, math, number theory",1300,12970,0
1850E,Cardboard for Pictures,"binary search, geometry, implementation, math",1100,16131,0
1850D,Balanced Round,"brute force, greedy, implementation, sortings",900,24195,0
1850C,Word on the Paper,"implementation, strings",800,31384,0
1850B,Ten Words of Wisdom,"implementation, sortings",800,31878,0
1850A,To My Critics,"implementation, sortings",800,36363,0
1849F,XOR Partition,"binary search, bitmasks, data structures, divide and conquer, greedy, trees",2700,457,0
1849E,Max to the Right of Min,"binary search, data structures, divide and conquer, dp, dsu, two pointers",2300,1105,0
1849D,Array Painting,"constructive algorithms, greedy, two pointers",1700,6142,0
1849C,Binary String Copying,"binary search, brute force, data structures, hashing, strings",1600,7908,0
1849B,Monsters,"greedy, math, sortings",1000,17677,0
1849A,Morning Sandwich,"implementation, math",800,23664,0
1848F,Vika and Wiki,"binary search, bitmasks, combinatorics, divide and conquer, dp, math",2400,1145,0
1848E,Vika and Stone Skipping,"brute force, implementation, math, number theory",2600,610,0
1848D,Vika and Bonuses,"binary search, brute force, math, ternary search",2200,2097,0
1848C,Vika and Price Tags,"math, number theory",1800,4923,0
1848B,Vika and the Bridge,"binary search, data structures, greedy, implementation, math, sortings",1200,10695,0
1848A,Vika and Her Friends,"games, math",900,14087,0
1847F,The Boss's Identity,"binary search, bitmasks, data structures, dfs and similar, greedy, math, sortings",2500,707,0
1847E,Triangle Platinum?,"brute force, combinatorics, implementation, interactive, math, probabilities",2900,273,0
1847D,Professor Higashikata,"data structures, dsu, greedy, implementation, strings",1900,3040,0
1847C,"Vampiric Powers, anyone?","bitmasks, brute force, dp, greedy",1400,10329,0
1847B,Hamon Odyssey,"bitmasks, greedy, two pointers",1000,16334,0
1847A,The Man who became a God,"greedy, sortings",800,19925,0
1846G,Rudolf and CodeVid-23,"bitmasks, dp, graphs, greedy, shortest paths",1900,3280,0
1846F,Rudolph and Mimic,"constructive algorithms, implementation, interactive",1800,2278,0
1846E2,Rudolf and Snowflakes (hard version),"binary search, brute force, implementation, math",1800,5471,0
1846E1,Rudolf and Snowflakes (simple version),"brute force, implementation, math",1300,12777,0
1846D,Rudolph and Christmas Tree,"constructive algorithms, geometry, math",1200,15518,0
1846C,Rudolf and the Another Competition,"constructive algorithms, data structures, dp, greedy, sortings",1200,15289,0
1846B,Rudolph and Tic-Tac-Toe,"brute force, implementation, strings",800,22959,0
1846A,Rudolph and Cut the Rope,"implementation, math",800,28004,0
1845F,Swimmers in the Pool,"dp, fft, math, number theory",2800,278,0
1845E,Boxes and Balls,"dp, implementation, math",2500,1041,0
1845D,Rating System,"binary search, brute force, data structures, dp, dsu, greedy, math, two pointers",1800,6101,0
1845C,Strong Password,"binary search, dp, greedy, strings",1400,11149,0
1845B,Come Together,"geometry, implementation, math",900,18318,0
1845A,Forbidden Integer,"constructive algorithms, implementation, math, number theory",800,20730,0
1844H,Multiple of Three Cycles,"combinatorics, data structures, dp, dsu, math",3400,78,0
1844G,Tree Weights,"bitmasks, constructive algorithms, data structures, dfs and similar, implementation, math, matrices, number theory, trees",3000,407,0
1844F2,Min Cost Permutation (Hard Version),"binary search, constructive algorithms, data structures, greedy, math, sortings",2800,294,0
1844F1,Min Cost Permutation (Easy Version),"brute force, constructive algorithms, greedy, math",2600,624,0
1844E,Great Grids,"2-sat, constructive algorithms, dfs and similar, dsu, graphs",2400,1478,0
